x,y,z
-7.60689,1.87838,6.21345
-0.707589,1.82236,-9.80705
-5.86535,1.80236,-7.89615
-4.30682,1.77435,8.8489
-4.76571,1.71834,-8.62179
3.9418,1.70634,-9.03054
3.19427,1.70234,9.32195
-3.58142,1.63433,-9.19252
-1.51411,1.58632,9.75659
-7.1162,1.53031,-6.85696
5.56327,1.40228,-8.19046
9.88645,1.39028,-0.570282
-8.92514,1.35427,4.30207
-1.83698,1.33027,-9.7394
-9.86365,1.32226,0.979779
5.41723,1.29426,8.30533
-9.60532,1.29026,-2.46435
9.70749,1.22224,2.0666
9.30287,1.20224,-3.46572
8.41282,1.19024,5.27332
0.803154,1.16223,-9.8997
8.34527,1.15023,-5.38826
6.99911,1.09822,-7.05736
-0.393158,1.09422,9.93218
9.94481,0.95019,0.444745
9.19158,0.918184,3.83038
-9.36511,0.914183,3.38511
-6.08368,0.894179,7.88602
7.322,0.886177,6.753
-9.34786,0.85017,-3.44888
1.81763,0.722144,-9.80687
2.06287,0.686137,9.76083
7.71329,0.658132,-6.33024
-5.63296,0.65013,-8.23693
-6.92307,0.378076,-7.20612
-3.20508,0.35007,9.46599
-8.30939,0.326065,-5.55408
-8.55284,0.286057,5.17369
-4.44154,0.266053,8.95556
-2.77496,0.262052,-9.60369
-9.80949,0.254051,1.92595
5.93182,0.25005,-8.0468
1.05736,0.246049,9.9409
-7.24472,0.234047,6.88907
-9.87569,0.222045,-1.55608
-4.77129,0.210042,-8.78582
9.72286,0.186037,-2.33053
-1.46798,0.178035,-9.89006
-9.9806,0.170034,0.598936
-0.139095,0.0940186,-9.99859
3.94425,0.0580114,9.1891
9.20901,-0.0860167,-3.897
9.98672,-0.118023,-0.501463
-2.10946,-0.142028,9.77394
9.55235,-0.15003,2.95468
-5.33404,-0.174035,8.45681
7.95872,-0.182036,6.05191
6.72353,-0.190037,-7.39987
5.39941,-0.214043,8.41431
-9.52739,-0.238048,3.02856
-9.23525,-0.302061,-3.82347
2.98299,-0.382077,9.53707
7.96221,-0.494099,-6.02985
3.47857,-0.514103,-9.36137
1.3888,-0.566113,-9.8869
8.68975,-0.578116,-4.91467
9.18563,-0.590118,3.90845
9.80801,-0.642128,1.84139
8.57938,-0.674134,5.09311
6.31025,-0.706141,7.72542
-9.09765,-0.730146,4.08652
-9.58534,-0.794159,-2.73688
-3.56304,-0.802161,9.3092
-6.53854,-0.834167,7.52008
-5.56267,-0.858172,-8.26561
-9.84049,-0.89818,1.5356
-8.28013,-1.0022,5.5168
-9.88006,-1.06621,-1.11697
-3.93874,-1.16223,-9.11787
-0.571734,-1.19424,-9.91196
9.28256,-1.23825,-3.50726
-4.47478,-1.24225,8.85625
5.94583,-1.25825,-7.94128
-7.38787,-1.26625,-6.61937
-7.23834,-1.27425,6.78106
9.6561,-1.32226,-2.23861
-9.8964,-1.33827,0.519935
-0.346012,-1.34627,9.90292
3.83479,-1.45029,9.12091
9.8804,-1.4903,0.395961
-8.34516,-1.53831,-5.29073
7.29256,-1.55431,6.66353
-2.96844,-1.60232,-9.41387
0.440779,-1.63433,-9.85569
-6.63223,-1.70634,-7.28711
4.96689,-1.75035,-8.50096
-9.10927,-1.88238,3.67121
7.01395,-1.91838,-6.86471
2.23444,-1.93839,-9.55248
9.77446,-1.9824,-0.728004
7.85433,-2.0024,-5.85661
-1.83472,-2.0064,9.62331
3.47948,-2.0224,-9.1544
-9.51326,-2.08242,-2.27187
8.54837,-2.08642,-4.75102
8.96803,-2.09842,3.89501
2.36652,-2.11042,9.48397
-6.08359,-2.12242,7.64757
9.58466,-2.15043,1.87347
-8.33188,-2.15443,5.09295
1.07687,-2.19444,9.69664
6.11256,-2.21444,7.59822
-7.33339,-2.42648,6.35087
-0.979845,-2.4825,-9.63728
