x,y,z
-3.06965,9.19984,2.43725
0.618603,9.19584,-3.87993
2.16987,9.19184,3.28661
-3.82911,9.18784,-0.959983
3.4801,9.18384,-1.88309
-1.29714,9.17984,3.74807
-1.57898,9.17584,-3.64841
3.63717,9.17183,1.6274
-3.78996,9.16783,1.25978
1.94809,9.16383,-3.49702
0.927853,9.15983,3.90341
-3.32843,9.15583,-2.25661
3.9876,9.15183,-0.585688
-2.55044,9.14783,3.13249
-0.235881,9.14383,-4.04163
2.91048,9.13983,2.82712
-4.06479,9.13583,-0.118892
3.08435,9.13183,-2.66393
-0.475895,9.12783,4.05664
-2.39453,9.12383,-3.31994
4.01696,9.11982,0.832347
-3.53186,9.11582,2.10422
1.18545,9.11182,-3.94581
1.79508,9.10782,3.71824
-3.84345,9.10382,-1.53242
3.8774,9.09982,-1.46938
-1.87047,9.09582,3.71045
-1.12952,9.09182,-4.00787
3.54756,9.08782,2.1969
-4.1084,9.08382,0.77804
2.50904,9.07982,-3.35584
0.417605,9.07582,4.17794
-3.13653,9.07181,-2.80435
4.2157,9.06781,-0.0509539
-3.08038,9.06381,2.89112
0.319098,9.05981,-4.22114
2.62133,9.05581,3.3348
-4.19393,9.05181,-0.689685
3.56547,9.04781,-2.32906
-1.05792,9.04381,4.13405
-2.01643,9.03981,-3.7704
4.04169,9.03581,1.4209
-3.94777,9.03181,1.6857
1.77576,9.02781,-3.91732
1.33933,9.0238,4.09599
-3.76167,9.0198,-2.11966
4.21368,9.0158,-0.97989
-2.44984,9.0118,3.57571
-0.61009,9.0078,-4.29969
3.36066,9.0038,2.76361
-4.35309,8.9998,0.232734
3.05841,8.9958,-3.11797
-0.149293,8.9918,4.37324
-2.84934,8.9878,-3.33178
4.35973,8.9838,0.533048
-3.58145,8.9798,2.55665
0.915552,8.97579,-4.31241
2.24202,8.97179,3.80529
-4.2314,8.96779,-1.29382
4.00137,8.96379,-1.90773
-1.66486,8.95979,4.11708
-1.55625,8.95579,-4.16796
3.97011,8.95179,2.02575
-4.30355,8.94779,1.19019
2.37359,8.94379,-3.7914
0.812289,8.93979,4.40686
-3.58211,8.93579,-2.70559
4.47685,8.93179,-0.425412
-3.01905,8.92779,3.34365
-0.0325034,8.92378,-4.51276
3.07767,8.91978,3.3114
-4.51406,8.91578,-0.363421
3.58022,8.91178,-2.78606
-0.759302,8.90778,4.4805
-2.4709,8.90378,-3.82326
4.41211,8.89978,1.15206
-4.03845,8.89578,2.13448
1.53862,8.89178,-4.30917
1.77928,8.88778,4.22393
-4.17225,8.88378,-1.91594
4.37805,8.87978,-1.40793
-2.28102,8.87578,4.0022
-1.0232,8.87177,-4.49941
3.8001,8.86777,2.63094
-4.58684,8.86377,0.628
2.96288,8.85977,-3.56732
0.225327,8.85577,4.63946
-3.30547,8.85177,-3.27415
4.6566,8.84777,0.181738
-3.56219,8.84377,3.01638
0.590064,8.83977,-4.63792
2.70214,8.83577,3.82462
-4.58333,8.83177,-0.996487
4.05923,8.82777,-2.365
-1.39784,8.82376,4.49302
-2.00746,8.81976,-4.26402
4.36746,8.81576,1.79098
-4.43722,8.81176,1.63214
2.17279,8.80776,-4.20741
1.24186,8.80376,4.57729
-4.01389,8.79976,-2.54025
4.68292,8.79576,-0.839549
-2.89042,8.79176,3.7882
-0.42825,8.78776,-4.7531
3.53189,8.78376,3.22047
-4.78704,8.77976,0.0111
3.52771,8.77575,-3.24675
-0.408701,8.77175,4.78427
-2.93482,8.76775,-3.80963
4.7446,8.76375,0.827914
-4.06389,8.75975,2.59837
1.24329,8.75575,-4.66809
2.23984,8.75175,4.28835
-4.55513,8.74775,-1.65157
4.48109,8.74375,-1.8619
-2.04956,8.73975,4.40637
-1.46734,8.73575,-4.64043
4.22275,8.73175,2.43412
-4.76494,8.72775,1.05914
2.80218,8.72374,-4.0055
0.640371,8.71974,4.85345
-3.7561,8.71574,-3.1508
4.90506,8.71174,-0.214222
-3.47715,8.70774,3.4763
0.216051,8.70374,-4.91917
3.16808,8.69974,3.7786
-4.89544,8.69574,-0.647137
4.05265,8.69174,-2.83368
-1.0757,8.68774,4.83385
-2.47553,8.68374,-4.29703
4.73465,8.67974,1.49842
-4.50969,8.67574,2.09627
1.91197,8.67173,-4.59841
1.69873,8.66773,4.68879
-4.42597,8.66373,-2.31311
4.83276,8.65973,-1.28587
-2.69867,8.65573,4.21847
-0.860811,8.65173,-4.9403
3.97732,8.64773,3.06556
-5.01037,8.64373,0.426773
3.41087,8.63973,-3.7042
-0.0129329,8.63573,5.04223
-3.40105,8.63173,-3.73178
5.03541,8.62773,0.454936
-4.02569,8.62372,3.07005
0.895829,8.61972,-4.98977
2.71362,8.61572,4.29017
-4.90546,8.61172,-1.33219
4.52303,8.60772,-2.33437
-1.76063,8.60372,4.7829
-1.93513,8.59972,-4.7223
4.62286,8.59572,2.17779
-4.88625,8.59172,1.51886
2.58037,8.58772,-4.42637
1.08871,8.58372,5.01343
-4.19477,8.57972,-2.9652
5.10268,8.57572,-0.647916
-3.3292,8.57171,3.92965
-0.199845,8.56771,-5.15309
3.63289,8.56371,3.66946
-5.16409,8.55971,-0.252082
3.98321,8.55571,-3.30664
-0.704389,8.55171,5.13538
-2.95325,8.54771,-4.2679
5.06698,8.54371,1.15358
-4.52118,8.53971,2.57533
1.59618,8.53571,-4.95923
2.17567,8.53171,4.74093
